owner;cleaned_github;author_name;author_username;commit_date;family;names;commit_message;manual_categories;oussama_categories;automatic
THUDM;https://github.com/THUDM/CogVLM2;Wenyi Hong;wenyihong;2024-09-03 16:24:49+00:00;THUDM_cogvlm2;Intermittent Alignment;update readme.md;external documentation;external documentation;external documentation
THUDM;https://github.com/THUDM/CogVLM2;Shiyu Huang;huangshiyu13;2024-07-07 14:22:35+00:00;THUDM_cogvlm2;Intermittent Alignment;update readme.md;external documentation;external documentation;external documentation
THUDM;https://github.com/THUDM/CogVLM2;Sleepy_chord;Sleepychord;2024-05-16 13:21:53+00:00;THUDM_cogvlm2;Intermittent Alignment;update readme.md;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen;Yang An;yangapku;2023-08-22 00:41:30+00:00;Qwen_Qwen;Dense Partial Alignment;update readme.md;external documentation;external documentation;external documentation
mistralai;https://github.com/mistralai/mistral-inference;timlacroix;timlacroix;2024-07-16 11:54:23+00:00;mistralai_Mistral-inference;Dense Partial Alignment;update readme.md;external documentation;external documentation;external documentation
mistralai;https://github.com/mistralai/mistral-inference;timlacroix;timlacroix;2024-07-16 11:55:44+00:00;mistralai_Mistral-inference;Dense Partial Alignment;update readme.md;external documentation;external documentation;external documentation
mistralai;https://github.com/mistralai/mistral-inference;Wei-Lin Chiang;infwinston;2023-10-14 17:34:29+00:00;mistralai_Mistral-inference;Dense Partial Alignment;update readme.md;external documentation;external documentation;external documentation
facebook;https://github.com/facebookresearch/fairseq;Patrick von Platen;patrickvonplaten;2023-06-20 17:15:05+00:00;facebook_fairseq;Dense Partial Alignment;update readme.md (#5211);external documentation;external documentation;external documentation
elastic;https://github.com/elastic/elasticsearch-labs;serenachou;serenachou;2023-06-29 19:36:14+00:00;elastic_distilbert;Sporadic Disjoint;update readme.md added a guide to support page;external documentation;external documentation;external documentation
mtgv;https://github.com/Meituan-AutoML/MobileVLM;lxy;Unknown;2023-12-29 07:05:56+00:00;mtgv_MobileVLM;Rare Alignment;update readme.md and figure1.png;external documentation;external documentation;external documentation
mtgv;https://github.com/Meituan-AutoML/MobileVLM;linxinyang;linxinyang;2024-02-06 10:02:59+00:00;mtgv_MobileVLM;Rare Alignment;update readme.md for mobilellama_sft;external documentation;external documentation;external documentation
mtgv;https://github.com/Meituan-AutoML/MobileVLM;Yang Yang;YangYang-DLUT;2024-01-15 11:56:04+00:00;mtgv_MobileVLM;Rare Alignment;update readme.md update deployment on mobile devices;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen;Yang An;yangapku;2023-09-29 14:20:03+00:00;Qwen_Qwen;Dense Partial Alignment;update readme_cn.md;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen;Junyang Lin;JustinLin610;2023-10-08 02:26:25+00:00;Qwen_Qwen;Dense Partial Alignment;update readme_cn.md;external documentation;external documentation;external documentation
THUDM;https://github.com/THUDM/CogVLM2;mactavish91;mactavish91;2024-05-16 07:11:00+00:00;THUDM_cogvlm2;Intermittent Alignment;update readme_en.md;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen-VL;Shijie;simonJJJ;2023-09-25 11:43:20+00:00;Qwen_Qwen-VL;Frequent Alignment;update readme_ja.md;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen;Junyang Lin;JustinLin610;2023-08-15 07:09:07+00:00;Qwen_Qwen;Dense Partial Alignment;update readme_ja.md;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen;Junyang Lin;JustinLin610;2023-09-25 03:49:24+00:00;Qwen_Qwen;Dense Partial Alignment;update readme_ja.md;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen;Ikko Eltociear Ashimine;eltociear;2023-08-20 01:28:49+00:00;Qwen_Qwen;Dense Partial Alignment;update readme_ja.md;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen;Ren Xuancheng;jklj077;2024-06-20 08:39:01+00:00;Qwen_Qwen;Dense Partial Alignment;update readme_ja.md;external documentation;external documentation;external documentation
